x,y,species cloglog values
1.0,1.0,1.4593388E-9
2.0,2.0,0.020098975
3.0,3.0,2.9396222E-7
4.0,4.0,1.1822581E-6
5.0,5.0,3.653567E-5
6.0,6.0,8.316771E-9
7.0,7.0,1.3930236E-7
8.0,8.0,0.8255654
9.0,9.0,0.009212913
10.0,10.0,2.9402404E-6
11.0,11.0,4.274683E-6
12.0,12.0,1.9335943E-5
13.0,13.0,3.2491644E-4
14.0,14.0,3.3953864E-7
15.0,15.0,4.6044562E-4
16.0,16.0,1.7997412E-5
17.0,17.0,0.0096969195
18.0,18.0,2.4726265E-10
19.0,19.0,8.987234E-6
20.0,20.0,0.013088946
21.0,21.0,1.5991385E-5
22.0,22.0,1.7750521E-8
23.0,23.0,3.4890036E-5
24.0,24.0,2.4347562E-8
25.0,25.0,9.442597E-4
26.0,26.0,1.080211E-6
27.0,27.0,9.653532E-5
28.0,28.0,2.4479882E-6
29.0,29.0,4.009569E-6
30.0,30.0,5.42863E-4
31.0,31.0,0.25397995
32.0,32.0,2.978832E-6
33.0,33.0,1.3427259E-11
34.0,34.0,2.2489762E-6
35.0,35.0,9.687491E-9
36.0,36.0,1.894738E-6
37.0,37.0,0.009506402
38.0,38.0,0.002101153
39.0,39.0,9.3787565E-4
40.0,40.0,5.5761305E-8
41.0,41.0,2.1773992E-7
42.0,42.0,2.4020879E-9
43.0,43.0,2.307876E-4
44.0,44.0,6.7420075E-7
45.0,45.0,0.0030964117
46.0,46.0,2.5597815E-8
47.0,47.0,2.0331505E-9
48.0,48.0,5.853555E-4
49.0,49.0,4.8481714E-4
50.0,50.0,7.2238545E-5
51.0,51.0,4.2769054E-4
52.0,52.0,9.079082E-11
53.0,53.0,0.004144801
54.0,54.0,8.007472E-7
55.0,55.0,4.567916E-6
56.0,56.0,2.0263232E-4
57.0,57.0,4.470937E-5
58.0,58.0,0.036513608
59.0,59.0,3.2029507E-6
60.0,60.0,5.447122E-7
61.0,61.0,1.8958473E-5
62.0,62.0,0.0014697774
63.0,63.0,1.6262948E-5
64.0,64.0,1.7362719E-9
65.0,65.0,5.91742E-7
66.0,66.0,0.6429262
67.0,67.0,1.3991821E-9
68.0,68.0,0.4977932
69.0,69.0,0.0013562754
70.0,70.0,2.2192621E-6
71.0,71.0,3.184413E-5
72.0,72.0,2.419429E-5
73.0,73.0,0.7947395
74.0,74.0,4.166787E-5
75.0,75.0,0.0013674237
76.0,76.0,1.0807637E-9
77.0,77.0,1.4496806E-7
78.0,78.0,6.13657E-4
79.0,79.0,3.167385E-6
80.0,80.0,2.6107693E-6
81.0,81.0,5.43146E-4
82.0,82.0,0.8601864
83.0,83.0,0.49307108
84.0,84.0,9.555879E-4
85.0,85.0,3.2218648E-4
86.0,86.0,2.8531194E-5
87.0,87.0,5.1760263E-11
88.0,88.0,1.8761303E-4
89.0,89.0,1.0728517E-7
90.0,90.0,1.0112841E-7
91.0,91.0,1.1219077E-4
92.0,92.0,3.8087546E-8
93.0,93.0,4.917721E-4
94.0,94.0,2.1973483E-5
95.0,95.0,1.1372396E-5
96.0,96.0,0.53804946
97.0,97.0,8.074519E-6
98.0,98.0,1.849623E-9
99.0,99.0,2.7167187E-5
100.0,100.0,1.4387264E-6
101.0,101.0,5.786575E-6
102.0,102.0,5.07296E-6
103.0,103.0,3.975631E-5
104.0,104.0,1.6355249E-5
105.0,105.0,1.8891174E-4
106.0,106.0,1.4567317E-5
107.0,107.0,5.3552456E-5
108.0,108.0,2.1592914E-9
109.0,109.0,2.665404E-6
110.0,110.0,0.7575504
111.0,111.0,2.9394651E-9
112.0,112.0,3.286983E-10
113.0,113.0,1.8987855E-8
114.0,114.0,5.964146E-6
115.0,115.0,2.1745353E-5
116.0,116.0,2.2380473E-5
117.0,117.0,2.4226187E-5
118.0,118.0,0.007371637
119.0,119.0,3.772943E-4
120.0,120.0,1.5206622E-4
121.0,121.0,0.0019681791
122.0,122.0,9.909772E-6
123.0,123.0,0.00413004
124.0,124.0,0.020331178
125.0,125.0,8.9832156E-8
126.0,126.0,2.3318988E-5
127.0,127.0,2.4608444E-5
128.0,128.0,9.585927E-6
129.0,129.0,7.161642E-8
130.0,130.0,0.7568136
131.0,131.0,1.6945089E-5
132.0,132.0,1.2716351E-4
133.0,133.0,3.732463E-9
134.0,134.0,0.0020845858
135.0,135.0,2.9217682E-4
136.0,136.0,9.093965E-7
137.0,137.0,5.269924E-5
138.0,138.0,2.4007743E-6
139.0,139.0,0.0012548134
140.0,140.0,0.0020929398
141.0,141.0,0.009624001
142.0,142.0,4.24295E-5
143.0,143.0,0.042603876
144.0,144.0,0.031318545
145.0,145.0,9.656823E-6
146.0,146.0,8.1596875E-7
147.0,147.0,4.837663E-8
148.0,148.0,2.34813E-5
149.0,149.0,2.1329719E-5
150.0,150.0,1.6120783E-5
151.0,151.0,5.0119866E-8
152.0,152.0,3.3081233E-7
153.0,153.0,0.03806856
154.0,154.0,0.0925411
155.0,155.0,1.2917342E-9
156.0,156.0,9.476703E-6
157.0,157.0,3.6290415E-11
158.0,158.0,5.8573467E-4
159.0,159.0,1.0808786E-6
160.0,160.0,2.240773E-4
161.0,161.0,0.78067136
162.0,162.0,1.4221905E-6
163.0,163.0,1.25231E-8
164.0,164.0,1.067778E-6
165.0,165.0,0.6603803
166.0,166.0,4.033168E-7
167.0,167.0,1.1374649E-6
168.0,168.0,8.666675E-7
169.0,169.0,1.0500902E-5
170.0,170.0,1.5854579E-5
171.0,171.0,1.198014E-4
172.0,172.0,1.795366E-8
173.0,173.0,2.175255E-5
174.0,174.0,5.873518E-5
175.0,175.0,4.8715826E-8
176.0,176.0,7.95216E-6
177.0,177.0,2.9188419E-5
178.0,178.0,2.7581857E-4
179.0,179.0,1.8743354E-5
180.0,180.0,0.0011313292
181.0,181.0,3.9257516E-6
182.0,182.0,5.5432047E-5
183.0,183.0,4.403488E-8
184.0,184.0,4.9488147E-10
185.0,185.0,0.6476302
186.0,186.0,7.749032E-7
187.0,187.0,4.993963E-8
188.0,188.0,7.468958E-9
189.0,189.0,8.386986E-6
190.0,190.0,0.0020801853
191.0,191.0,4.266714E-9
192.0,192.0,0.08596981
193.0,193.0,2.1843125E-4
194.0,194.0,4.2749036E-8
195.0,195.0,0.014585085
196.0,196.0,0.41266748
197.0,197.0,4.1814615E-6
198.0,198.0,4.5626703E-6
199.0,199.0,2.6334537E-4
200.0,200.0,0.009758719
201.0,201.0,3.5770598E-5
202.0,202.0,2.5943518E-5
203.0,203.0,6.5590354E-4
204.0,204.0,1.5964436E-6
205.0,205.0,0.0032965497
206.0,206.0,0.010082531
207.0,207.0,5.539676E-7
208.0,208.0,3.3755983E-5
209.0,209.0,5.6409463E-5
210.0,210.0,4.7883075E-9
211.0,211.0,7.6550717E-4
212.0,212.0,0.25474456
213.0,213.0,0.62577754
214.0,214.0,1.1015674E-5
215.0,215.0,9.819242E-7
216.0,216.0,9.8240416E-11
217.0,217.0,5.0177815E-4
218.0,218.0,0.003089085
219.0,219.0,5.3869365E-10
220.0,220.0,2.49812E-6
221.0,221.0,1.0530244E-4
222.0,222.0,9.5669104E-4
223.0,223.0,2.0812332E-7
224.0,224.0,7.57504E-6
225.0,225.0,0.49005312
226.0,226.0,2.5496056E-6
227.0,227.0,3.532522E-10
228.0,228.0,0.0019964871
229.0,229.0,2.5106883E-5
230.0,230.0,0.6034745
231.0,231.0,1.7105674E-6
232.0,232.0,2.5797282E-5
233.0,233.0,0.041788813
234.0,234.0,5.565652E-5
235.0,235.0,1.11430796E-4
236.0,236.0,1.12974985E-5
237.0,237.0,1.8393929E-6
238.0,238.0,3.5571582E-5
239.0,239.0,0.6482642
240.0,240.0,0.0015593489
241.0,241.0,1.1528118E-9
242.0,242.0,9.953617E-4
243.0,243.0,0.0019706879
244.0,244.0,4.739511E-4
245.0,245.0,1.2510033E-5
246.0,246.0,1.2755514E-8
247.0,247.0,3.1808694E-4
248.0,248.0,4.8760116E-6
249.0,249.0,1.09787E-5
250.0,250.0,0.5419891
251.0,251.0,8.136871E-7
252.0,252.0,1.3677155E-7
253.0,253.0,1.6762953E-5
254.0,254.0,3.4922223E-9
255.0,255.0,7.6819473E-4
256.0,256.0,3.08636E-8
257.0,257.0,6.6752756E-7
258.0,258.0,3.1156248E-6
259.0,259.0,3.0445765E-8
260.0,260.0,1.8520741E-6
261.0,261.0,3.456433E-5
262.0,262.0,0.18374494
263.0,263.0,0.0027897484
264.0,264.0,1.0202119E-6
265.0,265.0,0.08818457
266.0,266.0,9.546279E-10
267.0,267.0,1.0129637E-6
268.0,268.0,0.49244878
269.0,269.0,7.281363E-4
270.0,270.0,3.1818094E-4
271.0,271.0,1.8243145E-6
272.0,272.0,3.7448326E-6
273.0,273.0,0.003304386
274.0,274.0,0.006030029
275.0,275.0,4.3905578E-7
276.0,276.0,4.341808E-6
277.0,277.0,1.8374618E-6
278.0,278.0,9.385647E-7
279.0,279.0,8.869241E-7
280.0,280.0,3.9655613E-5
281.0,281.0,0.35539746
282.0,282.0,2.85554E-5
283.0,283.0,0.0026456309
284.0,284.0,4.2739903E-5
285.0,285.0,0.03461106
286.0,286.0,0.2557588
287.0,287.0,3.9434983E-8
288.0,288.0,0.0023784076
289.0,289.0,4.3428154E-4
290.0,290.0,1.4530983E-8
291.0,291.0,7.950291E-6
292.0,292.0,0.0012282208
293.0,293.0,1.9555257E-4
294.0,294.0,1.478429E-4
295.0,295.0,2.5996573E-7
296.0,296.0,6.774017E-10
297.0,297.0,2.7691589E-5
298.0,298.0,6.8702747E-7
299.0,299.0,1.6459259E-6
300.0,300.0,0.0056702932
301.0,301.0,0.0021653306
302.0,302.0,4.660318E-4
303.0,303.0,3.244998E-6
304.0,304.0,3.1434865E-7
305.0,305.0,0.020660382
306.0,306.0,1.1113061E-7
307.0,307.0,3.806026E-6
308.0,308.0,0.70273834
309.0,309.0,1.29394275E-5
310.0,310.0,4.0291794E-5
311.0,311.0,0.0040574013
312.0,312.0,6.1554675E-7
313.0,313.0,0.002415234
314.0,314.0,0.0018017825
315.0,315.0,2.3972887E-6
316.0,316.0,7.7517313E-7
317.0,317.0,5.132491E-4
318.0,318.0,1.5005644E-4
319.0,319.0,2.870853E-4
320.0,320.0,0.030072061
321.0,321.0,4.7267116E-5
322.0,322.0,1.7331891E-5
323.0,323.0,0.0028323918
