Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.13503E-13,0.000000001,0,0.980898445,0,0
2.15087E-13,0.000000003,0,0.9718756,0,0
6.15384E-13,0.00000001,0.000000001,0.953349971,0,0
1.23325E-12,0.000000025,0.000000001,0.937416011,0,0
4.2656E-12,0.0000001,0.000000005,0.907179881,0,0
1.16208E-11,0.000000251,0.000000013,0.888174314,0,0
3.70295E-11,0.000001003,0.000000042,0.856594356,0,0
8.48077E-11,0.000002502,0.000000096,0.831925514,0,0
2.6304E-10,0.000010021,0.000000299,0.788155116,0,0
5.07919E-10,0.000025043,0.000000578,0.750047994,0,0
7.95324E-10,0.000050038,0.000000905,0.712804761,0,0
1.44673E-9,0.000100099,0.000001646,0.667978499,0,0
3.42426E-9,0.000250101,0.000003896,0.604242657,0,0
6.92295E-9,0.000500066,0.000007876,0.555384911,0,0
1.29776E-8,0.001000168,0.000014764,0.505663275,0,0
2.97278E-8,0.002500638,0.00003382,0.434632367,0,0
6.97713E-8,0.005004862,0.000079375,0.381551161,0,0
1.57772E-7,0.010008687,0.000179479,0.338548666,0,0
4.42305E-7,0.025002772,0.000503078,0.284891534,0,0
9.94958E-7,0.050060609,0.001131309,0.249280092,0.002237136,0
2.10071E-6,0.1000962,0.002387089,0.216740257,0.002237136,0
4.67688E-6,0.200222503,0.005306691,0.186696103,0.002237136,0
8.13547E-6,0.300524074,0.009212913,0.171146093,0.002237136,0
1.20382E-5,0.401182853,0.013602333,0.161355347,0.002237136,0
1.58477E-5,0.501061703,0.017868111,0.154444231,0.002237136,0
2.03513E-5,0.600524021,0.022887353,0.149164907,0.002237136,0
2.77194E-5,0.701982827,0.031043913,0.145037435,0.002237136,0
3.09948E-5,0.752246228,0.034647908,0.143405644,0.002237136,0
3.26952E-5,0.800130663,0.036513606,0.141965828,0.002237136,0
3.66553E-5,0.903602634,0.04084464,0.139086197,0.002237136,0
4.17034E-5,1.001463238,0.046337422,0.136686504,0.002237136,0
4.63653E-5,1.102909307,0.051382008,0.134478787,0.002237136,0
5.07883E-5,1.200281886,0.056143484,0.132559032,0.002237136,0
5.57025E-5,1.300984121,0.061405666,0.130735266,0.002237136,0
6.13647E-5,1.401009916,0.067432498,0.129103475,0.002237136,0
6.69547E-5,1.503140499,0.073344508,0.127567671,0.004474273,0
7.8425E-5,1.755760804,0.085358391,0.124208101,0.004474273,0
9.1128E-5,2.008999745,0.098481823,0.12132847,0.006711409,0
1.04601E-4,2.255997516,0.112195075,0.118928777,0.006711409,0
1.16713E-4,2.511354013,0.124344809,0.11672106,0.011185682,0
1.32731E-4,2.751550865,0.140157395,0.114897293,0.011185682,0
1.50767E-4,3.004895126,0.157621603,0.113169514,0.011185682,0
1.63707E-4,3.258408049,0.16993192,0.111633711,0.011185682,0
1.7996E-4,3.515792189,0.185138935,0.110193895,0.013422819,0
1.87469E-4,3.75507969,0.192071145,0.108946055,0.015659955,0
1.99291E-4,4.009097322,0.202864721,0.107698215,0.015659955,0
2.15494E-4,4.257558345,0.217424341,0.106546362,0.015659955,0
2.19848E-4,4.518897514,0.221291484,0.10539451,0.017897092,0
