x,y,species cloglog values
1.0,1.0,1.3850728E-8
2.0,2.0,9.510713E-4
3.0,3.0,6.402001E-5
4.0,4.0,1.407921E-6
5.0,5.0,4.2313743E-5
6.0,6.0,9.81515E-6
7.0,7.0,1.4410363E-5
8.0,8.0,7.783114E-6
9.0,9.0,7.8507414E-4
10.0,10.0,1.06437234E-7
11.0,11.0,3.1952247E-8
12.0,12.0,2.505998E-7
13.0,13.0,6.464648E-4
14.0,14.0,1.3594846E-4
15.0,15.0,9.793651E-6
16.0,16.0,6.665986E-9
17.0,17.0,5.1496266E-7
18.0,18.0,1.0706532E-6
19.0,19.0,0.64109695
20.0,20.0,6.085857E-7
21.0,21.0,3.2577518E-5
22.0,22.0,8.7027054E-4
23.0,23.0,4.0289427E-7
24.0,24.0,0.2408289
25.0,25.0,0.0027197117
26.0,26.0,2.7977558E-6
27.0,27.0,7.188419E-6
28.0,28.0,9.239081E-6
29.0,29.0,9.168128E-6
30.0,30.0,1.7778113E-6
31.0,31.0,1.8437846E-5
32.0,32.0,3.0351321E-10
33.0,33.0,1.7947164E-5
34.0,34.0,8.117567E-5
35.0,35.0,1.5770047E-6
36.0,36.0,0.00814682
37.0,37.0,5.094311E-5
38.0,38.0,5.4015857E-7
39.0,39.0,2.9014624E-5
40.0,40.0,2.0592062E-4
41.0,41.0,0.5384199
42.0,42.0,0.012331963
43.0,43.0,1.296481E-9
44.0,44.0,7.2064526E-5
45.0,45.0,1.8692949E-6
46.0,46.0,0.014124465
47.0,47.0,9.7501885E-5
48.0,48.0,8.317074E-5
49.0,49.0,0.22940677
50.0,50.0,2.40697E-6
51.0,51.0,2.2536262E-10
52.0,52.0,0.37398782
53.0,53.0,0.04291133
54.0,54.0,4.8810758E-8
55.0,55.0,1.6798607E-5
56.0,56.0,8.706864E-8
57.0,57.0,3.0952593E-5
58.0,58.0,9.2175094E-7
59.0,59.0,6.1266146E-5
60.0,60.0,0.0011531372
61.0,61.0,5.051852E-5
62.0,62.0,2.936996E-6
63.0,63.0,1.25678E-7
64.0,64.0,0.72494894
65.0,65.0,4.1778832E-5
66.0,66.0,1.7534981E-5
67.0,67.0,2.6767479E-5
68.0,68.0,0.19860806
69.0,69.0,4.119712E-8
70.0,70.0,1.624608E-6
71.0,71.0,2.1252658E-6
72.0,72.0,0.0021690326
73.0,73.0,1.6923931E-6
74.0,74.0,2.3824317E-5
75.0,75.0,3.5206827E-7
76.0,76.0,4.6931888E-8
77.0,77.0,2.6149082E-4
78.0,78.0,1.354706E-6
79.0,79.0,1.0336247E-6
80.0,80.0,4.486317E-8
81.0,81.0,9.241258E-5
82.0,82.0,2.501993E-7
83.0,83.0,0.00113679
84.0,84.0,5.320831E-7
85.0,85.0,0.003003999
86.0,86.0,0.3780354
87.0,87.0,4.6291415E-11
88.0,88.0,7.850647E-8
89.0,89.0,0.84221965
90.0,90.0,1.8823505E-7
91.0,91.0,3.085382E-10
92.0,92.0,3.985838E-5
93.0,93.0,0.23841053
94.0,94.0,1.0612504E-4
95.0,95.0,7.801826E-4
96.0,96.0,3.6717375E-4
97.0,97.0,6.910449E-5
98.0,98.0,0.0025847934
99.0,99.0,3.6252112E-4
100.0,100.0,2.8677735E-7
101.0,101.0,2.250523E-5
102.0,102.0,2.3094336E-4
103.0,103.0,1.1744079E-6
104.0,104.0,1.0543413E-4
105.0,105.0,7.029151E-7
106.0,106.0,6.2669125E-5
107.0,107.0,3.3500775E-5
108.0,108.0,6.830417E-6
109.0,109.0,8.957446E-11
110.0,110.0,1.8596662E-5
111.0,111.0,4.0253026E-6
112.0,112.0,3.2739263E-5
113.0,113.0,0.7753724
114.0,114.0,0.15402435
115.0,115.0,1.0261362E-4
116.0,116.0,1.2448251E-4
117.0,117.0,0.0015710727
118.0,118.0,3.5664656E-5
119.0,119.0,2.2517993E-8
120.0,120.0,0.18957227
121.0,121.0,7.45307E-4
122.0,122.0,1.057065E-8
123.0,123.0,1.0045602E-7
124.0,124.0,4.3979477E-7
125.0,125.0,0.03254535
126.0,126.0,1.2480987E-8
127.0,127.0,0.3075779
128.0,128.0,0.03071512
129.0,129.0,2.0633028E-5
130.0,130.0,4.3495132E-7
131.0,131.0,2.767845E-5
132.0,132.0,0.0019258023
133.0,133.0,0.031757142
134.0,134.0,6.706535E-11
135.0,135.0,0.0012241747
136.0,136.0,7.2039966E-4
137.0,137.0,0.00178818
138.0,138.0,3.0560732E-9
139.0,139.0,4.75631E-6
140.0,140.0,1.05247144E-10
141.0,141.0,1.687913E-4
142.0,142.0,1.5891617E-7
143.0,143.0,3.7184066E-6
144.0,144.0,3.8902203E-5
145.0,145.0,9.17449E-4
146.0,146.0,8.4969676E-10
147.0,147.0,4.0024715E-6
148.0,148.0,6.4748843E-7
149.0,149.0,1.6240365E-6
150.0,150.0,1.642657E-5
151.0,151.0,2.8319528E-5
152.0,152.0,1.498862E-5
153.0,153.0,0.4145561
154.0,154.0,2.5211886E-5
155.0,155.0,7.548341E-4
156.0,156.0,8.959169E-8
157.0,157.0,3.0884568E-8
158.0,158.0,3.9785107E-7
159.0,159.0,0.060974233
160.0,160.0,1.8853331E-6
161.0,161.0,4.8202895E-7
162.0,162.0,4.8447067E-8
163.0,163.0,0.011305041
164.0,164.0,2.525493E-6
165.0,165.0,3.1845637E-11
166.0,166.0,1.3884042E-7
167.0,167.0,0.0011457101
168.0,168.0,2.7287132E-7
169.0,169.0,3.250288E-6
170.0,170.0,5.4577376E-5
171.0,171.0,3.9578805E-7
172.0,172.0,6.896627E-8
173.0,173.0,7.662251E-10
174.0,174.0,1.2792252E-8
175.0,175.0,3.346203E-8
176.0,176.0,3.6464728E-6
177.0,177.0,5.0419726E-6
178.0,178.0,3.5965386E-10
179.0,179.0,1.8799703E-5
180.0,180.0,1.0220729E-7
181.0,181.0,0.37696984
182.0,182.0,1.2169913E-6
183.0,183.0,0.014506472
184.0,184.0,8.331154E-8
185.0,185.0,1.3267214E-6
186.0,186.0,2.2621001E-5
187.0,187.0,1.052629E-9
188.0,188.0,9.396524E-10
189.0,189.0,3.2951642E-4
190.0,190.0,3.6015192E-7
191.0,191.0,1.1841713E-5
192.0,192.0,1.5882928E-6
193.0,193.0,3.7259326E-8
194.0,194.0,2.2527097E-4
195.0,195.0,0.68797076
196.0,196.0,3.1438397E-4
197.0,197.0,8.098512E-4
198.0,198.0,3.6421028E-4
199.0,199.0,0.22509196
200.0,200.0,0.008353447
201.0,201.0,5.8823764E-5
202.0,202.0,6.306644E-4
203.0,203.0,3.73112E-5
204.0,204.0,0.38335028
205.0,205.0,7.078549E-11
206.0,206.0,1.5006865E-6
207.0,207.0,1.1073111E-5
208.0,208.0,1.0023285E-5
209.0,209.0,6.2321476E-7
210.0,210.0,5.616273E-9
211.0,211.0,4.266895E-4
212.0,212.0,3.5994883E-5
213.0,213.0,8.325817E-7
214.0,214.0,4.9589E-7
215.0,215.0,1.5142808E-8
216.0,216.0,2.9701403E-7
217.0,217.0,1.8786384E-5
218.0,218.0,0.050509382
219.0,219.0,6.117251E-11
220.0,220.0,1.34361535E-5
221.0,221.0,0.2840417
222.0,222.0,3.0910505E-7
223.0,223.0,0.6536438
224.0,224.0,0.014581004
225.0,225.0,2.7880662E-5
226.0,226.0,0.0022658648
227.0,227.0,1.6447138E-5
228.0,228.0,1.6845961E-5
229.0,229.0,0.0015037785
230.0,230.0,1.7413797E-7
231.0,231.0,4.407933E-6
232.0,232.0,3.2546114E-7
233.0,233.0,1.8715566E-6
234.0,234.0,2.1268057E-5
235.0,235.0,2.5194313E-10
236.0,236.0,1.1750752E-8
237.0,237.0,0.009343329
238.0,238.0,2.6599474E-9
239.0,239.0,1.95853E-8
240.0,240.0,1.7333019E-4
241.0,241.0,3.5684494E-7
242.0,242.0,5.3113143E-7
243.0,243.0,3.1775083E-10
244.0,244.0,3.3246633E-5
245.0,245.0,3.4238294E-8
246.0,246.0,4.7174046E-7
247.0,247.0,0.008120043
248.0,248.0,9.163418E-7
249.0,249.0,1.6444834E-7
250.0,250.0,0.74033874
251.0,251.0,7.3988394E-6
252.0,252.0,0.5023452
253.0,253.0,4.150797E-6
254.0,254.0,2.9941031E-5
255.0,255.0,2.3379336E-7
256.0,256.0,1.2825998E-6
257.0,257.0,4.111099E-8
258.0,258.0,0.8730806
259.0,259.0,0.002014324
260.0,260.0,6.214535E-7
261.0,261.0,5.984813E-6
262.0,262.0,5.308224E-7
263.0,263.0,0.54737043
264.0,264.0,3.1007502E-8
265.0,265.0,0.07120447
266.0,266.0,0.005615456
267.0,267.0,3.9106424E-4
268.0,268.0,0.019787172
269.0,269.0,9.4906886E-7
270.0,270.0,2.2694246E-10
271.0,271.0,5.128869E-7
272.0,272.0,8.305243E-6
273.0,273.0,5.3016514E-8
274.0,274.0,1.86813E-5
275.0,275.0,0.8820416
276.0,276.0,2.309709E-8
277.0,277.0,3.5568944E-6
278.0,278.0,6.65007E-6
279.0,279.0,0.043829698
280.0,280.0,0.007760157
281.0,281.0,2.273743E-8
282.0,282.0,1.9319163E-5
283.0,283.0,1.0891074E-6
284.0,284.0,2.2249681E-7
285.0,285.0,1.3320229E-6
286.0,286.0,3.6749836E-7
287.0,287.0,4.498392E-6
288.0,288.0,0.035396904
