Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.21989E-13,0.000000001,0,0.984140715,0,0
2.15078E-13,0.000000003,0,0.975586313,0,0
6.14424E-13,0.00000001,0.000000001,0.956843522,0,0
1.14269E-12,0.000000025,0.000000001,0.940119185,0,0
4.08635E-12,0.0000001,0.000000005,0.907439446,0,0
1.08493E-11,0.000000251,0.000000012,0.886678201,0,0
3.18566E-11,0.000001002,0.000000036,0.850346021,0,0
7.21075E-11,0.000002506,0.000000082,0.821318724,0,0
2.12601E-10,0.000010014,0.000000241,0.769415609,0,0
4.26175E-10,0.000025027,0.000000483,0.72260669,0,0
7.64929E-10,0.000050041,0.000000866,0.68041138,0,0
1.34309E-9,0.000100029,0.000001521,0.634563629,0,0
3.34698E-9,0.000250221,0.000003791,0.569300269,0,0
6.71405E-9,0.000500119,0.000007605,0.520953479,0,0
1.25526E-8,0.001001121,0.000014218,0.4698193,0,0
3.35004E-8,0.002500955,0.000037945,0.401191849,0,0
8.43049E-8,0.005006601,0.000095486,0.35745867,0,0
1.79828E-7,0.010012971,0.000203667,0.318915802,0,0
5.27926E-7,0.025017843,0.000597795,0.273836986,0,0
1.08296E-6,0.050053896,0.001225905,0.242502884,0.002237136,0
2.17045E-6,0.100088415,0.002455421,0.211841599,0.002237136,0
4.98142E-6,0.20004649,0.00562649,0.183006536,0.002237136,0
8.31034E-6,0.30045431,0.009368834,0.16810842,0.002237136,0
1.31531E-5,0.400611281,0.014787859,0.15916955,0.002237136,0
1.76444E-5,0.500181588,0.019787172,0.152921953,0.002237136,0
2.41328E-5,0.601197808,0.026964612,0.148116109,0.002237136,0
2.92551E-5,0.702840781,0.032593833,0.144463668,0.002237136,0
3.21708E-5,0.75212285,0.03578352,0.142925798,0.002237136,0
3.40054E-5,0.801467022,0.037785098,0.141484045,0.002237136,0
3.8202E-5,0.902635235,0.042348037,0.138792772,0.002237136,0
4.38907E-5,1.00424608,0.0484988,0.13638985,0.002237136,0
4.75484E-5,1.104616317,0.052432717,0.134275279,0.002237136,0
5.30276E-5,1.200944177,0.058295294,0.132449058,0.002237136,0
6.1124E-5,1.303735698,0.066891882,0.130718954,0.002237136,0
6.73723E-5,1.40637218,0.073472559,0.129181084,0.002237136,0
7.18651E-5,1.503967174,0.078175643,0.127835448,0.002237136,0
8.57974E-5,1.754054943,0.09260867,0.124759708,0.004474273,0
9.67208E-5,2.000730582,0.103766472,0.122164552,0.006711409,0
1.05847E-4,2.254073346,0.112983566,0.11976163,0.008948546,0
1.13228E-4,2.505640925,0.120367771,0.117550942,0.011185682,0
1.30234E-4,2.761184078,0.137149818,0.115532488,0.011185682,0
1.44159E-4,3.008233979,0.1506527,0.113802384,0.011185682,0
1.55572E-4,3.263777217,0.161561605,0.112168397,0.013422819,0
1.67715E-4,3.506157772,0.173014264,0.110726644,0.013422819,0
1.75366E-4,3.764080121,0.180150725,0.10928489,0.013422819,0
1.83016E-4,4.015875873,0.187223832,0.107939254,0.013422819,0
1.90821E-4,4.25913205,0.194377371,0.106689735,0.013422819,0
2.04768E-4,4.515210054,0.207004158,0.105440215,0.013422819,0
2.15359E-4,4.768918926,0.216460935,0.104286813,0.015659955,0
2.25138E-4,5.012543286,0.225091965,0.103229527,0.020134228,0
2.37052E-4,5.267399487,0.235478567,0.102172241,0.024608501,0
2.44393E-4,5.508744902,0.241809378,0.101211073,0.024608501,0
2.60607E-4,5.763563287,0.255606354,0.100249904,0.024608501,0
2.68804E-4,6.001404056,0.262485845,0.099384852,0.029082774,0
2.78306E-4,6.274474739,0.270381189,0.098423683,0.029082774,0
2.85685E-4,6.501008897,0.276454031,0.097654748,0.031319911,0
2.96362E-4,6.763953341,0.285151594,0.096789696,0.035794183,0
3.12549E-4,7.008329404,0.298138557,0.096020761,0.035794183,0
3.19277E-4,7.261172617,0.303467048,0.095251826,0.040268456,0
3.28725E-4,7.521070358,0.310881537,0.094482891,0.042505593,0
3.33971E-4,7.753003478,0.31496431,0.093810073,0.046979866,0
3.45914E-4,8.027298662,0.324168387,0.093041138,0.053691275,0
3.6166E-4,8.275359635,0.33611532,0.09236832,0.058165548,0
3.63939E-4,8.52960757,0.337826834,0.091695502,0.067114094,0
3.72319E-4,8.751876474,0.344082804,0.0911188,0.067114094,0
3.76884E-4,9.014372782,0.347465004,0.090445982,0.06935123,0
3.80721E-4,9.279760386,0.350295456,0.089773164,0.071588367,0
3.83141E-4,9.509089453,0.352073541,0.089196463,0.071588367,0
3.86168E-4,9.778401727,0.354291021,0.088523645,0.073825503,0
3.94545E-4,10.012845797,0.360389463,0.087946943,0.073825503,0
4.01085E-4,10.25187318,0.365109474,0.087370242,0.07606264,0
4.05929E-4,10.534319371,0.368583638,0.086697424,0.080536913,0
4.14024E-4,10.781510141,0.374346737,0.086120723,0.082774049,0
4.20009E-4,11.031697612,0.378574009,0.085544022,0.082774049,0
4.26821E-4,11.285612467,0.383350282,0.08496732,0.085011186,0
